id,title,speaker,abstract,track,score
PGCONF_7046,Hacking pgvector for performance,Daniel Krefl,"In this talk I will present a modification to the popular pgvector Postgres extension for approximate nearest neighbor search. The modified extension keeps the vector index persistent in external (Non-Postgres) memory, and pushes potential filter conditions directly into the index scan. Storage of index and compute can also be offloaded to a GPU. I will explain in detail the inner workings of a Postgres index scan, the rational behind moving core parts of pgvector away from Postgres, and the performance implications. I will also highlight how this modified extension finds application in massive data processing within the framework of the AERO project for the future heterogeneous EU cloud infrastructure.",App Developer (45 minutes),
PGCONF_6961,Patroni and pgBackRest: better together,Stefan Fercot,"Even in a world of managed database services and cloud-native platforms, Patroni and pgBackRest remain two essential components in the PostgreSQL operations toolbox. This talk is your go-to guide for combining the strengths of this powerful duo to achieve high availability and disaster recovery. You will learn how to integrate pgBackRest into a Patroni-managed cluster, safely rebuild standby nodes, bootstrap an entire cluster from an existing pgBackRest backup, and perform point-in-time recovery (PITR) entirely under Patroni's control. Expect real-world examples, detailed YAML configuration snippets, and the kind of operational wisdom that only comes from lessons learned the hard way.",DBA (45 minutes),
PGCONF_6989,All in a context!,Rafia Sabih,"Postgresql has a special way of handling memory management, which is via specialized data structure called memory context. All the memory allocation and deallocation are done using a memory context. One never requires independent calls to memory functions like free, malloc, etc. in PostgreSQL. Memory contexts are hierarchical in nature, so deleting a parent context deletes and deallocates all the children contexts, this eases the memory handling by avoiding memory leaks. There are also some specialised memory contexts defined like MessageContext, TopTransactionContext, PortalContext, ErrorContext with their specific purposes. There are APIs available to handle the working of memory contexts to create, delete, reallocate, deallocate, reset, or switch to other contexts. There are also APIs available to identify the current context or switch to some globally available memory contexts. This talk aims at discussing the details of memory management in PostgreSQL.",Postgres Internals (25 minutes),
PGCONF_7181,Exploring new enhancements and improvements Fujitsu has delivered to PostgreSQL,Vincent O'Dea,"In this session we will dive into a series of recent contributions to PostgreSQL, made possible by the Fujitsu team working with sustained focus on core database features. We will explore some of these new enhancements and improvements including: 1. Advanced Conflict Management 2. Parallel Apply for High Throughput 3. Table Exclusions 4. Seamless Cluster Upgrades 5. Slot Synchronization for High Availability",Sponsors,
PGCONF_7229,PostgreSQL Europe Reception,,"As with previous PGConf.EU events, the 2025 conference in Riga will have a social event. Following the success of last year's event, we’re again making this year’s social easy for all to attend: just join us in the common area at the conclusion of the conference on Wednesday, October 22, for snacks, refreshments and activities. We look forward to seeing you and celebrating what we know will be a great conference!",PGConf.EU,
PGCONF_6960,"Have you ever wondered, how a cloud platform works?","Maximilian Stefanac, Philipp Thun","Cloud Foundry is an open-source Platform as a Service project which is, that serves as the workhorse of the SAP Business Technology Platform, powered by PostgreSQL. Database Performance is crucial for Cloud Foundry because it has direct effects to the performance and scalability of the installed platform which is crucial for its operations and high-demanding enterprise users. Consequently, SAP contributes actively to optimizations of queries for PostgreSQL in Cloud Foundry to operate the Cloud Platform at a large scale. Over the years the Cloud Foundry team at SAP, gained experience in how to set up and run reliable and performant cloud foundry installations on AWS, Azure, Google Cloud and Alibaba Cloud. From outside the offerings looks similar, but you do not get similar offerings: This is especially a challenge in unified automation and monitoring of PostgreSQL databases on these infrastructures. Attendees will learn about - Cloud Foundry in general and the usage of PostgreSQL in this open-source project. - Running PostgreSQL on different cloud infrastructures -> comparison of the different service offerings. - PostgreSQL optimizations for large scale cloud foundry installations in the code and in the database server. It is the foundation for some open-source contributions of SAP in this area. - Zero-downtime Schema Migrations in high load scenarios - Some true live stories about PostgreSQL major version upgrades which inexpertly caused problems.",App Developer (45 minutes),
PGCONF_7035,Unified Observability: Monitoring Postgres Anywhere with OpenTelemetry,Yogesh Jain,"PostgreSQL is widely used across cloud, Kubernetes, and bare metal environments. But how can we monitor it efficiently across all these setups without vendor lock-in or high costs? In this talk, we'll explore how OpenTelemetry helps achieve consistent and scalable observability for Postgres - no matter where it runs. We'll walk through how to collect metrics and logs, integrate them with open-source observability tools, and optimize monitoring for both performance and cost. Expect live demos and practical insights on making PostgreSQL monitoring simple, efficient, and future-ready with OpenTelemetry. Key Takeaways: - How OpenTelemetry brings consistent Postgres observability across cloud, kubernetes, and bare metal - How to collect telemetry data (metrics and logs) for effective Postgres monitoring - How to use open-source tools (Prometheus, Loki, Grafana) to observe Postgres - Tips to reduce observability costs while keeping full visibility - Live demo of Postgres monitoring in cloud-native environments",DBA (45 minutes),
PGCONF_6908,Why PostgreSQL people should really care about Kafka and Debezium?,Dirk Krautschick,"In the realm of data management, the convergence of Postgres, Kafka, and Debezium heralds a new era of possibilities. This talk is a compelling exploration into why individuals immersed in the Postgres ecosystem must pay careful attention to Kafka and Debezium, unveiling the transformative impact of this trinity on data architecture. The discussion kicks off by unraveling the unique strengths of each player - obviously Postgres as a robust relational database, Kafka as a resilient event streaming platform and Debezium as the linchpin enabling change data capture (CDC). Attendees will embark on a journey through the intricacies of integrating these technologies, understanding how their synergy facilitates real-time data propagation and synchronization. Throughout the talk, we'll dive into the benefits that arise when Postgres enthusiasts embrace Kafka and Debezium, from unlocking unparalleled insights into database changes to fortifying data consistency across distributed systems. Practical insights and real-world examples will illuminate the potential pitfalls in this integration, coupled with strategies to navigate challenges effectively. This talk aspires to empower Postgres aficionados to navigate the evolving data terrain with confidence, fostering a community that recognizes the symbiotic relationship between Postgres, Kafka, and Debezium as the key to unlocking the full potential of their data ecosystems.",DBA (45 minutes),
PGCONF_7187,DBtune: AI-driven performance tuning for all PostgreSQL flavors,Dr. Luigi Nardi,"Manual PostgreSQL tuning is an error prone guessing game resulting in volatile performance, costly over-provisioning, and unnecessary downtime. For enterprises managing large, heterogeneous database fleets, this problem is magnified, causing spiraling infrastructure costs and unpredictable behavior. This session introduces the new major release of the DBtune and address the challenge of tuning complex workloads for enterprises. Learn how DBtune's autonomous agent analyzes your unique workloads and adapts server parameters to maximize your database’s resource utilization and throughput. We will directly compare DBtune's adaptive approach to static methods like PGTune. Through a live demo, we will show you how DBtune operates seamlessly across any environment, from self-hosted community PostgreSQL to managed cloud services like Amazon RDS, Aurora, and Google Cloud SQL. You will discover practical strategies to automate tuning, achieve predictable high performance, and cost optimization.",Sponsors,
PGCONF_6795,EXPLAIN: make it make sense,Aivars Kalvāns,"Most developers know how to measure the time a database query takes and to find which one is the slowest. But what next? What is going on there? Is it good that it’s doing that? Is the query supposed to take this much time? Will some indexes help? In this talk, I will help you decipher database query plans and give some rules of thumb to understand if the database is doing the best it can. We will also use query plans to find the best indexes for queries by observing what the database is looking for. I will also share several anti-patterns I have seen in projects and show how to rewrite them in a database-friendly way. Although I will use Python to explain the principles and execute my queries, I will show the raw SQL to make it applicable to any programming language.",App Developer (25 minutes),
PGCONF_7134,Kubernetes from the Database Out,Alastair Turner,"You already know your Postgres, but you're being asked to work with this Kubernetes thing. Do you want to focus your Kubernetes learning on only the bits which are relevant to databases? Then this is the talk for you! Skip the usual 'why run databases on Kubernetes' discussion and dive straight into what you need to know to talk Postgres on Kubernetes. Using a Postgres database hosted on Kubernetes as an example, I will cover the components of Kubernetes involved in day-to-day activities - including network connectivity, storage, and the automation of restarts and upgrades. Join me for an overview of the few, core terms and concepts among the many, many pieces of the Kubernetes ecosystem you need to learn about first, to start your Data on Kubernetes journey.",DBA (25 minutes),
PGCONF_6947,Discover your contribution-magic,Cornelia Biacsics,"Let's discover some ways you can make individual contributions to the PostgreSQL project besides the traditional development paths, because everyone who has a point of contact with PostgreSQL is invited to do so. Learn more about how you can contribute with your personal skills and knowledge, even without a technical background. This talk is your introduction to getting involved in the open source world and making it an even better place. Let magic happen to you.",Community (25 minutes),
PGCONF_7059,PostgreSQL Tips & Tricks For App Devs,Chris Ellis,"PostgreSQL has a huge range of features, maybe too many. Making use of these features can often make application developer's lives easier, reducing the complexity of their application. We'll take a look at some use cases I've ran into over the years and what features of PostgreSQL can be used to help solve those problems. Taking a look at use cases such as: * Event scheduling & booking * Task execution * Searching * Geolocation * Unknown data And more!",App Developer (45 minutes),
PGCONF_6979,"Managing Postgres at scale: Challenges, Tools & Techniques",Karen Jex,"Managing databases at scale can be hard! Databases keep getting bigger, and organisations are managing more and more databases. To make things even more challenging, you may be one of the many people who are expected to implement and look after database systems who isn’t actually a database administrator. Maybe your training and expertise lies in other areas such as sysadmin, devops or application development. In this session, we’ll think about some of the difficulties you might encounter when managing databases at scale, whether that means looking after multi-terabyte databases or being responsible for hundreds or even thousands of databases. More importantly, we’ll look at the skills, tools and techniques that you can rely on to manage them successfully. This will include topics such as: • architecture • automation • disaster recovery, high availability & backups • sizing, memory and storage • partitioning and sharding options • monitoring and alerting",DBA (45 minutes),
PGCONF_7037,"The SyncRep Detective Story: Chasing Ghosts in PostgreSQL, Finding Demons in Storage",Dmitry Fomin,"In a high-availability PostgreSQL architecture with sync replicas, a sudden spike in commit latency is a high-stakes crime. In our case, data from pg_wait_sampling pointed to a single, obvious suspect: the SyncRep wait event. This launched a critical investigation to restore our application's performance. Our initial inquiry took us down a rabbit hole of what we now know was a classic red herring. We were convinced the culprit was network-related, spending valuable time investigating potential network misconfigurations and signs of overload. Yet, despite our best efforts, the evidence never fully added up, and the performance issues persisted. The breakthrough came when we looked closer at the replica's activity and discovered our ""smoking gun"": persistently slow fdatasync() calls. This crucial clue exonerated the network and proved the problem wasn't in the transit of data, but in its persistence. The focus of our investigation pivoted instantly and intensely towards the storage layer, where the real mystery lay. This presentation details our two-pronged counterattack: The Tactical Containment: As we began the deep-dive into the storage system, we immediately implemented quorum-based synchronous commits. This provided crucial first-aid, reducing the immediate impact on the primary and buying us valuable time. The Strategic Solution: The core of our story is a deep dive into the custom patch we engineered for PostgreSQL. We will walk through the logic of this patch, designed specifically to reduce the primary's performance sensitivity to slow replica disk writes. Join this session to learn: How to use low-level diagnostics to spot slow fdatasync() calls and correctly identify I/O-bound replication lag. The practical benefits and implementation details of using quorum commits as a powerful mitigation strategy. A technical breakdown of our PostgreSQL patch and the lessons we learned in modifying the source to solve a unique infrastructure challenge. This is a real-world story of misdirection, deep-dive forensics, and pragmatic engineering. You will leave with a playbook for diagnosing the true source of replication latency, even when all initial signs point elsewhere.",Postgres Internals (45 minutes),
PGCONF_7191,TDE as an Extension: A Different Path for PostgreSQL Encryption,Zsolt Parragi,"Transparent Data Encryption (TDE) has been a long-standing challenge in the PostgreSQL community. While proprietary solutions exist and major patch sets have been proposed, the topic continues to spark debate on the hackers mailing list, with no clear path forward. Our team decided to take a different approach: instead of building TDE directly into PostgreSQL, we explored how far we could go by implementing it as an extension, pushing core changes only where extensibility improvements were needed. This has been, and still is, a demanding project. Along the way, we have built multiple prototypes, hit dead ends, and uncovered design trade-offs that were not obvious at the start. In this talk, we will share the technical lessons from our journey: what failed, what succeeded, how our extension-based approach actually works, and which challenges remain unsolved.",Sponsors,
PGCONF_7054,Implementing Slowly Changing Dimensions in Postgres,Marc Linster,"Slowly Changing Dimensions (SCD) are a popular method to model changes of database reference values over time and maintain history data, for example product prices that change over time. When correctly used, they are powerful and provide a structured way to simplify complex data models. This talk will review six types of SCDs and discuss how the most relevant type can be modeled in Postgres, and how JSONB, the daterange data type, and the btree_gist extension can be used to create very elegant and powerful SCD implementations in Postgres.",App Developer (25 minutes),
PGCONF_7095,Implementing strong cross-platform resiliency in agile environments with logical replication,Andreas Geppert,"Resiliency means that data of critical applications are not lost even in cases of extended and complete downtime of infrastructure providers. In particular, we have to guarantee that no more than 15 minutes worth of data are lost in such a scenario. The issue is exacerbated by the fact that applications may release schema changes at any point in time, without the possibility to allow deployments only during release windows. The obvious solution - physical replication - is not possible because it is not supported by the infrastructure provider. In this talk we show how logical replication in Postgres can be used to implement the required level of resiliency and how we deal with the fact that schema changes are not replicated.",DBA (25 minutes),
PGCONF_7021,They grow up so fast: donating your open source project to a foundation,"Floor Drees, Gabriele Bartolini","The first commit to the CloudNativePG project was made in February 2020. Just two years later, EDB began the process of donating the project to the Cloud Native Computing Foundation (CNCF), part of the nonprofit Linux Foundation. This move wasn’t just symbolic—it was a deliberate strategy to ensure CloudNativePG could continue to thrive under the guidance of a broader, more diverse community of contributors. Transferring stewardship of an open source project to a foundation is a milestone. It’s about more than governance—it’s about trust, neutrality, and long-term sustainability. Becoming part of the CNCF unlocks new levels of visibility, collaboration, and adoption, connecting the project with a global ecosystem of practitioners and end users. At the time of writing, CloudNativePG is a CNCF Sandbox project. Our hope is to reach Incubation status by the end of next year. But how did we get here—and what does “donating” a project really involve? Join us for a candid, behind-the-scenes look at the journey of donating an open-source project to a foundation: the motivations, the process, the surprises, and the lessons learned along the way.",Community (25 minutes),
PGCONF_6848,Long Queries and the Art of Full Scan,Henrietta Dombrovskaya,"Some queries just can’t run in a fraction of a second, no matter how well-written. This does not mean they cannot be optimized. Many practitioners hold that since analytical reports do not have strict response time requirements, it is not important how fast or slow they run. What's a big deal if a query only runs once a day, or once a week, or once a month? This is a dangerous practice. If report performance is neglected, performance can easily degrade from minutes to hours or even days! Let's learn how to be proactive and build reports the right way from the start, so that they won't become a performance disaster when the data volumes increase!",App Developer (45 minutes),
