id,title,speaker,abstract,track,score
PROP150,"Advanced Lua Scripting","Michael Martinez","Build embedded and game scripting systems with Lua. Learn about C integration, performance optimization, and domain-specific languages.",Lua,
PROP151,"Building Government Applications","Lisa Rodriguez","Create applications for government services. Learn about accessibility requirements, security compliance, and citizen engagement.",Government,
PROP152,"Advanced Assembly Programming","David Park","Build system-level software with assembly language. Learn about processor architecture, optimization, and debugging techniques.",Assembly,
PROP153,"Building Non-Profit Solutions","Amanda Garcia","Develop applications for non-profit organizations. Learn about donor management, volunteer coordination, and impact measurement.",Non-Profit,
PROP154,"Advanced Fortran Development","Carlos Chen","Build scientific computing applications with Fortran. Learn about parallel computing, numerical methods, and legacy code modernization.",Fortran,
PROP155,"Building Art and Culture Apps","Jennifer Martinez","Create applications for arts and cultural institutions. Learn about digital exhibitions, collection management, and audience engagement.",Arts,
PROP156,"Advanced COBOL Programming","Robert Brown","Maintain and modernize COBOL applications. Learn about legacy system integration, modernization strategies, and best practices.",COBOL,
PROP157,"Building Food Tech Solutions","Maria Thompson","Develop applications for food industry. Learn about supply chain tracking, quality management, and consumer engagement.",Food Tech,
PROP158,"Advanced Ada Programming","Thomas Garcia","Build safety-critical systems with Ada. Learn about real-time programming, formal verification, and certification requirements.",Ada,
PROP159,"Building Fashion Tech Apps","Sarah Kim","Create applications for fashion industry. Learn about e-commerce, virtual try-on, and trend analysis.",Fashion Tech,
PROP160,"Advanced Prolog Programming","Michael Rodriguez","Build logic programming applications with Prolog. Learn about constraint solving, knowledge representation, and AI applications.",Prolog,
PROP161,"Building Music Technology","Lisa Martinez","Develop applications for music industry. Learn about audio processing, streaming, and rights management.",Music Tech,
PROP162,"Advanced Smalltalk Development","David Chen","Build object-oriented applications with Smalltalk. Learn about live coding, reflection, and development environments.",Smalltalk,
PROP163,"Building Transportation Systems","Amanda Park","Create intelligent transportation applications. Learn about traffic management, route optimization, and vehicle tracking.",Transportation,
PROP164,"Advanced Scheme Programming","Carlos Rodriguez","Build functional applications with Scheme. Learn about macros, continuations, and interpreter implementation.",Scheme,
PROP165,"Building Telecommunications","Jennifer Garcia","Develop telecom applications and systems. Learn about network protocols, billing systems, and service management.",Telecom,
PROP166,"Advanced Tcl/Tk Development","Robert Martinez","Build GUI applications and automation tools with Tcl/Tk. Learn about scripting, testing, and cross-platform development.",Tcl,
PROP167,"Building Space Technology","Maria Brown","Create applications for space industry. Learn about satellite data, mission planning, and space communication systems.",Space Tech,
PROP168,"Advanced Forth Programming","Thomas Park","Build embedded systems with Forth. Learn about stack-based programming, real-time systems, and hardware interaction.",Forth,
PROP169,"Building Marine Technology","Sarah Chen","Develop applications for maritime industry. Learn about navigation systems, fleet management, and environmental monitoring.",Marine Tech,
PROP170,"Advanced APL Programming","Michael Garcia","Build data analysis applications with APL. Learn about array programming, mathematical notation, and problem solving.",APL,
PROP171,"Building Mining Applications","Lisa Thompson","Create applications for mining industry. Learn about resource management, safety monitoring, and operational optimization.",Mining Tech,
PROP172,"Advanced J Programming","David Rodriguez","Build analytical applications with J. Learn about array programming, mathematical modeling, and data visualization.",J,
PROP173,"Building Aerospace Systems","Amanda Martinez","Develop applications for aerospace industry. Learn about flight systems, simulation, and safety-critical development.",Aerospace,
PROP174,"Advanced Icon Programming","Carlos Brown","Build string processing applications with Icon. Learn about pattern matching, generators, and text analysis.",Icon,
PROP175,"Building Automotive Technology","Jennifer Kim","Create applications for automotive industry. Learn about connected vehicles, autonomous systems, and manufacturing optimization.",Automotive,
PROP176,"Advanced Rexx Scripting","Robert Chen","Build automation and text processing scripts with Rexx. Learn about system integration, batch processing, and legacy systems.",Rexx,
PROP177,"Building Biotechnology Apps","Maria Garcia","Develop applications for biotech industry. Learn about bioinformatics, lab management, and research data analysis.",Biotech,
PROP178,"Advanced PostScript Programming","Thomas Martinez","Build document processing applications with PostScript. Learn about graphics programming, printing systems, and PDF generation.",PostScript,
PROP179,"Building Pharmaceutical Systems","Sarah Rodriguez","Create applications for pharmaceutical industry. Learn about drug development, clinical trials, and regulatory compliance.",Pharma,
PROP180,"Advanced Factor Programming","Michael Park","Build modern applications with Factor. Learn about stack-based programming, functional composition, and meta-programming.",Factor,
PROP181,"Building Chemical Industry Apps","Lisa Brown","Develop applications for chemical industry. Learn about process control, safety management, and regulatory compliance.",Chemical,
PROP182,"Advanced Oz Programming","David Thompson","Build concurrent applications with Oz. Learn about dataflow programming, constraint programming, and distributed computing.",Oz,
PROP183,"Building Materials Science Apps","Amanda Chen","Create applications for materials research. Learn about property modeling, testing data management, and simulation integration.",Materials,
PROP184,"Advanced Clean Development","Carlos Garcia","Build functional applications with Clean. Learn about uniqueness typing, lazy evaluation, and theorem proving.",Clean,
PROP185,"Building Textile Industry Apps","Jennifer Martinez","Develop applications for textile manufacturing. Learn about supply chain management, quality control, and sustainability tracking.",Textile,
PROP186,"Advanced Eiffel Programming","Robert Rodriguez","Build object-oriented applications with Eiffel. Learn about design by contract, inheritance, and software engineering principles.",Eiffel,
PROP187,"Building Paper Industry Systems","Maria Park","Create applications for paper and pulp industry. Learn about production optimization, quality management, and environmental compliance.",Paper,
PROP188,"Advanced Mercury Programming","Thomas Brown","Build logic programming applications with Mercury. Learn about strong typing, mode systems, and determinism analysis.",Mercury,
PROP189,"Building Glass Industry Apps","Sarah Garcia","Develop applications for glass manufacturing. Learn about process control, quality assurance, and energy optimization.",Glass,
PROP190,"Advanced Curry Programming","Michael Martinez","Build functional logic applications with Curry. Learn about non-deterministic programming, constraint solving, and lazy evaluation.",Curry,
PROP191,"Building Ceramics Industry Systems","Lisa Chen","Create applications for ceramics manufacturing. Learn about firing optimization, quality control, and inventory management.",Ceramics,
PROP192,"Advanced Alice Programming","David Kim","Build 3D programming applications with Alice. Learn about educational programming, animation, and interactive storytelling.",Alice,
PROP193,"Building Plastics Industry Apps","Amanda Rodriguez","Develop applications for plastics manufacturing. Learn about recycling tracking, production optimization, and compliance management.",Plastics,
PROP194,"Advanced Scratch Programming","Carlos Thompson","Build educational programming environments. Learn about visual programming, learning analytics, and creative computing.",Scratch,
PROP195,"Building Rubber Industry Systems","Jennifer Brown","Create applications for rubber manufacturing. Learn about compound formulation, quality testing, and supply chain optimization.",Rubber,
PROP196,"Advanced Blockly Development","Robert Garcia","Build visual programming tools with Blockly. Learn about code generation, educational interfaces, and accessibility.",Blockly,
PROP197,"Building Steel Industry Apps","Maria Martinez","Develop applications for steel production. Learn about process optimization, quality control, and predictive maintenance.",Steel,
PROP198,"Advanced NetLogo Programming","Thomas Rodriguez","Build agent-based modeling applications with NetLogo. Learn about simulation design, complex systems, and educational modeling.",NetLogo,
PROP199,"Building Aluminum Industry Systems","Sarah Park","Create applications for aluminum production. Learn about smelting optimization, quality assurance, and energy management.",Aluminum,
PROP200,"Advanced Greenfoot Development","Michael Chen","Build educational programming environments with Greenfoot. Learn about object-oriented teaching, game development, and student engagement.",Greenfoot,
